embedder,labelling,k,granted_fraction,n_labels_granted,mechanism,bucket,metric,mean,lo,hi,draws
bge-m3,compartment,5,0.25,10,post,unanswerable,any_hit,0.012204335025820386,0.004599333855799373,0.020364119393655254,40
bge-m3,compartment,5,0.25,10,post,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,post,unanswerable,context_size,0.5086478060720319,0.31429947857628654,0.7546658857652833,40
bge-m3,compartment,5,0.25,10,post,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,post,unanswerable,recall,0.0048222810452083955,0.001154323406478579,0.008489455380373375,40
bge-m3,compartment,5,0.25,10,pre,all,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,pre,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,pre,all,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,pre,all,recall,0.16038833333333335,0.07168333333333334,0.26764166666666667,40
bge-m3,compartment,5,0.25,10,pre,answerable,any_hit,0.7712079406544776,0.7084688995215311,0.8572055137844611,40
bge-m3,compartment,5,0.25,10,pre,answerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,pre,answerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,pre,answerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,pre,answerable,recall,0.7172030790252698,0.6358931419457735,0.806030701754386,40
bge-m3,compartment,5,0.25,10,pre,unanswerable,any_hit,0.014819958178178277,0.004653213166144201,0.025156244656475486,40
bge-m3,compartment,5,0.25,10,pre,unanswerable,authorized,1.0,1.0,1.0,40
bge-m3,compartment,5,0.25,10,pre,unanswerable,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.25,10,pre,unanswerable,leaked,0.0,0.0,0.0,40
bge-m3,compartment,5,0.25,10,pre,unanswerable,recall,0.006094790419925162,0.0014299995981030464,0.010092079614240274,40
bge-m3,compartment,5,0.5,20,_policy,all,answerable_rate,0.45010000000000006,0.26180000000000003,0.64735,40
bge-m3,compartment,5,0.5,20,_policy,all,authorized_passages,0.490068782662158,0.28685828466031355,0.6675299723332309,40
bge-m3,compartment,5,0.5,20,_q,answerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,_q,unanswerable,n,1.0,1.0,1.0,40
bge-m3,compartment,5,0.5,20,none,all,authorized,0.27359999999999995,0.1404,0.44909999999999994,40
bge-m3,compartment,5,0.5,20,none,all,context_size,5.0,5.0,5.0,40
bge-m3,compartment,5,0.5,20,none,all,leaked,2.6195999999999997,1.7184,3.6480499999999996,40
bge-m3,compartment,5,0.5,20,none,all,recall,0.6467333333333334,0.6467333333333334,0.6467333333333334,40
bge-m3,compartment,5,0.5,20,none,answerable,any_hit,0.7170798620447002,0.6684910011248594,0.7803529411764706,40
bge-m3,compartment,5,0.5,20,none,answerable,authorized,0.5587768773437041,0.4556574675324675,0.6686587622903413,40
